Topic,Sentiment,TweetId,TweetDate,TweetText
apple,5,1.26416E+17,Tue Oct 18 21:53:25 +0000 2011,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
apple,5,1.26403E+17,Tue Oct 18 21:02:20 +0000 2011,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
apple,5,1.26397E+17,Tue Oct 18 20:40:10 +0000 2011,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
apple,5,1.2638E+17,Tue Oct 18 19:30:39 +0000 2011,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
apple,5,1.26378E+17,Tue Oct 18 19:22:35 +0000 2011,Great up close & personal event @Apple tonight in Regent St store!
apple,5,1.26374E+17,Tue Oct 18 19:07:11 +0000 2011,From which companies do you experience the best customer service aside from @zappos and @apple?
apple,5,1.26366E+17,Tue Oct 18 18:35:43 +0000 2011,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
apple,5,1.2636E+17,Tue Oct 18 18:14:01 +0000 2011,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
apple,5,1.26358E+17,Tue Oct 18 18:04:25 +0000 2011,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
apple,5,1.26352E+17,Tue Oct 18 17:41:43 +0000 2011,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
apple,5,1.26342E+17,Tue Oct 18 17:01:58 +0000 2011,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty."
apple,5,1.26326E+17,Tue Oct 18 15:56:32 +0000 2011,@DailyDealChat @apple Thanks!!
apple,5,1.26324E+17,Tue Oct 18 15:50:05 +0000 2011,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
apple,5,1.26322E+17,Tue Oct 18 15:41:41 +0000 2011,@apple @siri is efffing amazing!!
apple,5,1.26318E+17,Tue Oct 18 15:25:35 +0000 2011,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
apple,5,1.26315E+17,Tue Oct 18 15:14:30 +0000 2011,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
apple,5,1.26315E+17,Tue Oct 18 15:12:22 +0000 2011,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
apple,5,1.26312E+17,Tue Oct 18 15:01:37 +0000 2011,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
apple,5,1.26302E+17,Tue Oct 18 14:21:47 +0000 2011,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
apple,5,1.26288E+17,Tue Oct 18 13:24:57 +0000 2011,At the bus with my iPhone ;) thxx @apple
apple,5,1.26285E+17,Tue Oct 18 13:12:27 +0000 2011,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app."
apple,5,1.26264E+17,Tue Oct 18 11:50:18 +0000 2011,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
apple,5,1.26256E+17,Tue Oct 18 11:20:05 +0000 2011,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
apple,5,1.26196E+17,Tue Oct 18 07:18:51 +0000 2011,@bkad5161 than apologize to @apple ;)
apple,5,1.2618E+17,Tue Oct 18 06:18:01 +0000 2011,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI"
apple,5,1.26164E+17,Tue Oct 18 05:15:18 +0000 2011,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
apple,5,1.26141E+17,Tue Oct 18 03:41:23 +0000 2011,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
apple,5,1.26134E+17,Tue Oct 18 03:15:59 +0000 2011,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
apple,5,1.26117E+17,Tue Oct 18 02:06:26 +0000 2011,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple"
apple,5,1.26117E+17,Tue Oct 18 02:05:18 +0000 2011,Well at least the @apple store has amazing call waiting music! #need4s
apple,5,1.26113E+17,Tue Oct 18 01:50:17 +0000 2011,#sweet... #apple replaced my glass #probono. thank you @apple
apple,5,1.26108E+17,Tue Oct 18 01:30:56 +0000 2011,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
apple,5,1.26105E+17,Tue Oct 18 01:18:05 +0000 2011,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology"
apple,5,1.26097E+17,Tue Oct 18 00:49:03 +0000 2011,I'm loving this new IOS5 update :) @apple
apple,5,1.26096E+17,Tue Oct 18 00:42:22 +0000 2011,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
apple,5,1.26085E+17,Mon Oct 17 23:59:19 +0000 2011,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
apple,5,1.26076E+17,Mon Oct 17 23:24:52 +0000 2011,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
apple,5,1.26076E+17,Mon Oct 17 23:22:04 +0000 2011,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
apple,5,1.26065E+17,Mon Oct 17 22:38:18 +0000 2011,@apple loving the new IOS5 upgrade for the iPhone!
apple,5,1.26063E+17,Mon Oct 17 22:33:41 +0000 2011,Once again getting great customer service from the @apple store at millenia mall.
apple,5,1.26059E+17,Mon Oct 17 22:17:59 +0000 2011,Is it just me or is #iOS5 faster for the iPad? @apple
apple,5,1.26057E+17,Mon Oct 17 22:08:32 +0000 2011,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
apple,5,1.2604E+17,Mon Oct 17 21:01:10 +0000 2011,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
apple,5,1.26034E+17,Mon Oct 17 20:39:00 +0000 2011,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
apple,5,1.26027E+17,Mon Oct 17 20:08:14 +0000 2011,@Apple Safari Reader owns the worldwide web
apple,5,1.26019E+17,Mon Oct 17 19:38:59 +0000 2011,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
apple,5,1.2601E+17,Mon Oct 17 19:00:39 +0000 2011,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
apple,5,1.26008E+17,Mon Oct 17 18:55:11 +0000 2011,"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)"
apple,5,1.26003E+17,Mon Oct 17 18:32:14 +0000 2011,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
apple,5,1.26E+17,Mon Oct 17 18:20:38 +0000 2011,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w"
apple,5,1.25979E+17,Mon Oct 17 16:56:46 +0000 2011,"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!"
apple,5,1.25975E+17,Mon Oct 17 16:40:37 +0000 2011,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
apple,5,1.25948E+17,Mon Oct 17 14:54:56 +0000 2011,"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive."
apple,5,1.2594E+17,Mon Oct 17 14:25:04 +0000 2011,"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)"
apple,5,1.25924E+17,Mon Oct 17 13:21:42 +0000 2011,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
apple,5,1.25923E+17,Mon Oct 17 13:15:57 +0000 2011,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
apple,5,1.25902E+17,Mon Oct 17 11:53:42 +0000 2011,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
apple,5,1.25901E+17,Mon Oct 17 11:49:20 +0000 2011,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
apple,5,1.259E+17,Mon Oct 17 11:46:32 +0000 2011,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
apple,5,1.2585E+17,Mon Oct 17 08:27:01 +0000 2011,"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone"
apple,5,1.2584E+17,Mon Oct 17 07:46:17 +0000 2011,@apple your simply the best.
apple,5,1.25795E+17,Mon Oct 17 04:47:03 +0000 2011,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
apple,5,1.25729E+17,Mon Oct 17 00:23:56 +0000 2011,"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness"
apple,5,1.25723E+17,Mon Oct 17 00:00:13 +0000 2011,Loving the new iPod update @apple
apple,5,1.25718E+17,Sun Oct 16 23:39:51 +0000 2011,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
apple,5,1.25714E+17,Sun Oct 16 23:25:12 +0000 2011,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
apple,5,1.25712E+17,Sun Oct 16 23:19:14 +0000 2011,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
apple,5,1.25709E+17,Sun Oct 16 23:04:09 +0000 2011,Loving my new #iPhone4S thanks @apple for #ios5
apple,5,1.25682E+17,Sun Oct 16 21:17:17 +0000 2011,@apple Siri is amazing
apple,5,1.25677E+17,Sun Oct 16 21:00:07 +0000 2011,"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple"
apple,5,1.25667E+17,Sun Oct 16 20:19:39 +0000 2011,"So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac"
apple,5,1.25664E+17,Sun Oct 16 20:08:17 +0000 2011,I ♥ @Apple http://t.co/a8on3IAa
apple,5,1.25662E+17,Sun Oct 16 20:00:25 +0000 2011,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
apple,5,1.25653E+17,Sun Oct 16 19:21:45 +0000 2011,Loving #iOS5 !! #awesome @Apple
apple,5,1.25648E+17,Sun Oct 16 19:03:18 +0000 2011,"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}"
apple,5,1.25643E+17,Sun Oct 16 18:43:45 +0000 2011,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??
apple,5,1.25628E+17,Sun Oct 16 17:44:31 +0000 2011,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
apple,5,1.25624E+17,Sun Oct 16 17:26:49 +0000 2011,"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done."
apple,5,1.25618E+17,Sun Oct 16 17:05:50 +0000 2011,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...
apple,5,1.2561E+17,Sun Oct 16 16:33:41 +0000 2011,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s
apple,5,1.25608E+17,Sun Oct 16 16:25:47 +0000 2011,I &lt;3 @apple http://t.co/ondXWpEr
apple,5,1.25597E+17,Sun Oct 16 15:38:43 +0000 2011,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.
apple,5,1.25586E+17,Sun Oct 16 14:55:16 +0000 2011,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D
apple,5,1.25562E+17,Sun Oct 16 13:23:10 +0000 2011,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
apple,5,1.25562E+17,Sun Oct 16 13:21:16 +0000 2011,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
apple,5,1.2555E+17,Sun Oct 16 12:34:19 +0000 2011,"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple."
apple,5,1.25547E+17,Sun Oct 16 12:23:02 +0000 2011,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
apple,5,1.2554E+17,Sun Oct 16 11:53:12 +0000 2011,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple
apple,5,1.25538E+17,Sun Oct 16 11:46:04 +0000 2011,@RickySinghPT got a new backside for my eye phone! V impressed with @apple
apple,5,1.25538E+17,Sun Oct 16 11:44:25 +0000 2011,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
apple,5,1.25524E+17,Sun Oct 16 10:50:53 +0000 2011,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
apple,5,1.25502E+17,Sun Oct 16 09:21:22 +0000 2011,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple
apple,5,1.25501E+17,Sun Oct 16 09:20:11 +0000 2011,@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required
apple,5,1.25459E+17,Sun Oct 16 06:33:31 +0000 2011,"Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson."
apple,5,1.25455E+17,Sun Oct 16 06:17:19 +0000 2011,"I absolutely love my iPhone 4S. Thank you, Steve and @apple."
apple,5,1.25423E+17,Sun Oct 16 04:10:17 +0000 2011,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s
apple,5,1.25408E+17,Sun Oct 16 03:07:40 +0000 2011,"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature"
apple,5,1.25402E+17,Sun Oct 16 02:47:19 +0000 2011,@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!
apple,5,1.25394E+17,Sun Oct 16 02:13:10 +0000 2011,#iOS5 update submitted to @apple! Thanks for all the support!
apple,5,1.25357E+17,Sat Oct 15 23:46:06 +0000 2011,Awesome service from the @apple store in pc. Thanks chris!
apple,5,1.25338E+17,Sat Oct 15 22:32:14 +0000 2011,I am crazy about #iOS5 . The photo cropping is the best! @apple
apple,5,1.25334E+17,Sat Oct 15 22:13:53 +0000 2011,.@apple thanks for fixing this... http://t.co/wTj1ogDO
apple,5,1.25313E+17,Sat Oct 15 20:52:23 +0000 2011,@apple has changed life.
apple,5,1.2531E+17,Sat Oct 15 20:39:54 +0000 2011,Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
apple,5,1.2528E+17,Sat Oct 15 18:40:51 +0000 2011,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple
apple,5,1.25256E+17,Sat Oct 15 17:06:45 +0000 2011,#iOs5 is nice and as it had to be ! Thanks @Apple
apple,5,1.25252E+17,Sat Oct 15 16:50:23 +0000 2011,Good support fm Kevin @apple #Bellevue store 4 biz customers TY!
apple,5,1.25238E+17,Sat Oct 15 15:54:04 +0000 2011,@Apple: Siri is amazing!!! I'm in love!
apple,5,1.25165E+17,Sat Oct 15 11:04:38 +0000 2011,Love love love iOS 5!! @apple
apple,1,1.26419E+17,Tue Oct 18 22:06:03 +0000 2011,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
apple,1,1.26417E+17,Tue Oct 18 22:00:04 +0000 2011,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
apple,1,1.26417E+17,Tue Oct 18 21:58:36 +0000 2011,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
apple,1,1.26411E+17,Tue Oct 18 21:35:44 +0000 2011,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
apple,1,1.26411E+17,Tue Oct 18 21:33:28 +0000 2011,@apple needs to hurry up and release #iTunesMatch
apple,1,1.2641E+17,Tue Oct 18 21:29:54 +0000 2011,Why is  #Siri always down @apple
apple,1,1.26409E+17,Tue Oct 18 21:26:36 +0000 2011,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
apple,1,1.26408E+17,Tue Oct 18 21:23:22 +0000 2011,"@apple AirDrop #fail - Immediate ""declined your request."" every time"
